Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACU,Acme United Corporation. Common Stock,$36.99,-0.01,-0.027%,132611739.00,United States,1988,2718,Consumer Discretionary,Industrial Machinery/Components
AE,Adams Resources & Energy Inc. Common Stock,$28.80,0.13,0.453%,73337501.00,United States,1980,5857,Energy,Oil Refining/Marketing
AEON,AEON Biopharma Inc. Class A Common Stock,$4.87,0.17,3.617%,180967252.00,United States,,2705,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.425,0.0201,4.964%,20757997.00,United States,1997,94841,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$5.34,0.16,3.089%,17162627.00,United States,2014,4139,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$2.95,-0.25,-7.813%,9704990.00,United States,,3300,Industrials,Military/Government/Technical
AMPE,Ampio Pharmaceuticals Inc.,$2.11,-0.15,-6.637%,1755564.00,United States,2022,19980,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.39,0.015,0.632%,15057000.00,United States,1988,1640,Health Care,Medical Specialities
AREN,The Arena Group Holdings Inc. Common Stock,$2.73,-0.21,-7.143%,65069252.00,United States,2022,28540,Health Care,Medical/Dental Instruments
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.10,-0.03,-1.408%,75907805.00,United States,,36170,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASXC,Asensus Surgical Inc. Common Stock,$0.2399,0.0049,2.085%,63409588.00,United States,,522115,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$4.42,0.11,2.552%,121167409.00,United States,,78825,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.507,-0.003,-0.588%,7140933.00,United States,,247296,Basic Materials,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$5.71,0.34,6.331%,93966975.00,United States,,7312,Energy,Oil & Gas Production
BDL,Flanigan's Enterprises Inc. Common Stock,$26.60,-0.18,-0.672%,49440010.00,United States,1972,2603,Consumer Discretionary,Restaurants
BKTI,BK Technologies Corporation Common Stock,$12.545,0.325,2.66%,43349235.00,United States,,2685,Technology,Radio And Television Broadcasting And Communications Equipment
BRN,Barnwell Industries Inc. Common Stock,$2.49,-0.02,-0.797%,24877037.00,United States,1965,8043,Energy,Oil & Gas Production
CATX,Perspective Therapeutics Inc. Common Stock,$0.255,-0.0032,-1.239%,71545612.00,United States,,121165,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$4.19,-0.14,-3.233%,34721629.00,United States,2022,14463,Health Care,Managed Health Care
CEI,Camber Energy Inc. Common Stock,$0.2785,-0.0108,-3.733%,29947453.00,United States,,1636791,Energy,Oil & Gas Production
CIX,CompX International Inc. Common Stock,$21.99,0.51,2.374%,270779516.00,United States,1998,3604,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$12.42,0.00,0.00%,24522383.00,United States,2003,55,Energy,Oil & Gas Production
CMT,Core Molding Technologies Inc Common Stock,$18.20,0.21,1.167%,164540813.00,United States,1996,84398,Industrials,Plastic Products
CTGO,Contango ORE Inc. Common Stock,$22.78,-0.12,-0.524%,214134916.00,United States,2021,27869,Basic Materials,Precious Metals
CVM,Cel-Sci Corporation Common Stock,$2.35,-0.13,-5.242%,111061228.00,United States,1997,374345,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$16.45,0.00,0.00%,15892871.00,United States,1930,102,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.23,-0.09,-3.879%,28259465.00,United States,2022,70658,Industrials,Military/Government/Technical
DC,Dakota Gold Corp. Common Stock,$2.69,0.06,2.281%,233331332.00,United States,2022,97537,Basic Materials,Precious Metals
DIT,AMCON Distributing Company Common Stock,$176.00,-4.15,-2.304%,110943712.00,United States,1999,688,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$8.77,-0.23,-2.556%,61477875.00,United States,2000,5083,Consumer Staples,Apparel
DSS,DSS Inc. Common Stock,$0.1381,0.0019,1.395%,19370493.00,United States,,125811,Consumer Discretionary,Containers/Packaging
