,Decile,Raw Return,CAPM Alpha,CAPM t-stat,CAPM Significance,FF3 Alpha,FF3 t-stat,FF3 Significance
0,Low,0.04,0.03,(11.62),***,0.03,(10.15),***
1,1,0.03,0.02,(6.48),***,0.02,(6.01),***
2,2,0.02,0.02,(7.40),***,0.02,(8.89),***
3,3,0.02,0.01,(5.43),***,0.01,(4.85),***
4,4,0.01,0.0,(2.82),***,0.0,(2.79),***
5,5,0.01,0.0,(0.16),,-0.0,(-0.04),
6,6,0.01,-0.0,(-0.73),,-0.0,(-0.94),
7,7,-0.0,-0.01,(-2.43),**,-0.01,(-2.70),***
8,8,-0.0,-0.01,(-3.62),***,-0.01,(-3.68),***
9,High,-0.02,0.0,(nan),,0.0,(nan),
10,H-L,-0.06,0.0,(nan),,0.0,(nan),
