,Decile,Raw Return,CAPM Alpha,CAPM t-stat,CAPM Significance,FF3 Alpha,FF3 t-stat,FF3 Significance
0,Low,-0.01,0.0,(nan),,0.0,(nan),
1,1,-0.0,-0.01,(-5.33),***,-0.01,(-5.58),***
2,2,0.0,-0.0,(-3.32),***,-0.01,(-3.79),***
3,3,0.01,-0.0,(-0.13),,-0.0,(-0.45),
4,4,0.01,0.0,(1.22),,0.0,(0.94),
5,5,0.01,0.01,(4.03),***,0.01,(3.92),***
6,6,0.02,0.01,(4.02),***,0.01,(4.09),***
7,7,0.03,0.02,(7.17),***,0.02,(8.26),***
8,8,0.02,0.02,(8.26),***,0.01,(8.82),***
9,High,0.03,0.0,(nan),,0.0,(nan),
10,H-L,0.04,0.0,(nan),,0.0,(nan),
