,Decile,Raw Return,CAPM Alpha,CAPM t-stat,CAPM Significance,FF3 Alpha,FF3 t-stat,FF3 Significance
0,Low,0.04,0.03,(9.85),***,0.03,(8.95),***
1,1,0.03,0.02,(6.09),***,0.02,(5.47),***
2,2,0.03,0.02,(8.46),***,0.02,(8.88),***
3,3,0.02,0.01,(3.91),***,0.01,(3.67),***
4,4,0.01,0.0,(2.47),**,0.0,(2.28),**
5,5,0.01,-0.0,(-0.38),,-0.0,(-0.72),
6,6,0.01,0.0,(0.35),,0.0,(0.08),
7,7,0.0,-0.01,(-2.06),**,-0.01,(-2.30),**
8,8,-0.0,-0.01,(-3.32),***,-0.01,(-3.50),***
9,High,-0.01,-0.02,(-3.17),***,-0.02,(-3.82),***
10,H-L,-0.05,-0.06,(-5.75),***,-0.05,(-6.70),***
