Date,Mkt-RF,SMB,HML,RF
201101,1.98,-2.24,1.33,0.01
201102,4.01,2.02,0.40,0.01
201103,0.43,2.15,-1.72,0.01
201104,2.79,0.04,-2.28,0.00
201105,-1.48,-1.18,-1.45,0.00
201106,-1.87,-0.78,-0.23,0.00
201107,-2.28,-0.84,-1.96,0.00
201108,-5.92,-2.84,-1.85,0.01
201109,-8.57,-4.08,-0.55,0.00
201110,11.56,3.32,-0.05,0.00
201111,-0.46,-0.74,-0.24,0.00
201112,0.33,-0.78,2.89,0.00
201201,5.27,2.54,-2.95,0.00
201202,4.32,-1.44,0.14,0.00
201203,2.40,-1.29,0.72,0.00
201204,-0.64,-1.06,-0.30,0.00
201205,-6.69,-0.53,0.44,0.01
201206,3.74,0.65,0.34,0.00
201207,1.01,-2.42,0.72,0.00
201208,2.76,0.88,0.24,0.01
201209,2.80,0.96,0.68,0.01
201210,-1.63,-0.75,3.72,0.01
201211,0.65,-0.09,-0.73,0.01
201212,1.30,1.72,3.03,0.01
201301,5.33,0.35,1.54,0.00
201302,0.96,-1.06,-0.01,0.00
201303,3.71,0.72,-0.15,0.00
201304,1.27,-2.84,-0.02,0.00
201305,2.53,1.41,1.12,0.00
201306,-1.52,0.88,0.52,0.00
201307,5.69,1.75,-0.24,0.00
201308,-2.53,0.48,-2.13,0.00
201309,3.82,2.06,-1.42,0.00
201310,4.09,-1.77,0.65,0.00
201311,2.79,0.93,-0.53,0.00
201312,2.64,-0.54,-0.08,0.00
201401,-3.42,1.12,-1.43,0.00
201402,4.72,0.24,-0.42,0.00
201403,0.62,-1.54,4.88,0.00
201404,0.25,-3.63,1.78,0.00
201405,1.98,-1.93,-0.57,0.00
201406,2.81,3.17,0.52,0.00
201407,-2.06,-4.05,-0.04,0.00
201408,4.06,0.39,-1.01,0.00
201409,-2.45,-3.72,-2.62,0.00
201410,2.03,2.59,-3.48,0.00
201411,2.22,-2.21,-2.95,0.00
201412,-0.20,1.82,0.77,0.00
201501,-3.47,-1.05,-3.89,0.00
201502,6.15,0.88,-1.35,0.00
201503,-1.20,2.53,-0.94,0.00
201504,1.11,-2.44,3.37,0.00
201505,1.00,0.61,-1.79,0.00
201506,-1.70,2.63,-1.32,0.00
201507,1.05,-4.24,-5.07,0.00
201508,-5.93,-0.22,3.45,0.00
201509,-3.35,-3.13,0.72,0.00
201510,7.53,-2.13,0.52,0.00
201511,0.45,2.73,-1.25,0.00
201512,-2.45,-2.79,-2.20,0.01
201601,-5.73,-4.12,4.02,0.01
201602,0.26,1.11,0.91,0.02
201603,7.00,1.15,2.00,0.02
201604,1.12,2.26,3.72,0.01
201605,1.39,0.01,-2.61,0.01
201606,-0.11,0.31,0.24,0.02
201607,3.92,2.35,-2.90,0.02
201608,0.43,0.96,1.59,0.02
201609,0.34,1.68,-1.07,0.02
201610,-2.05,-3.79,2.89,0.02
201611,4.54,4.62,6.78,0.01
