Date,Mkt-RF,SMB,HML,RMW,CMA,RF
201101,1.98,-2.06,1.33,0.13,1.24,0.01
201102,4.01,1.89,0.40,-1.93,-0.39,0.01
201103,0.43,2.16,-1.72,2.19,0.76,0.01
201104,2.79,-0.03,-2.28,1.24,-0.60,0.00
201105,-1.48,-0.96,-1.45,2.71,-0.73,0.00
201106,-1.87,-0.40,-0.23,2.71,0.09,0.00
201107,-2.28,-0.71,-1.96,1.93,-1.91,0.00
201108,-5.92,-2.85,-1.85,1.67,-0.66,0.01
201109,-8.57,-3.87,-0.55,2.66,0.25,0.00
201110,11.56,3.21,-0.05,-1.07,-0.16,0.00
201111,-0.46,-0.63,-0.24,1.73,1.06,0.00
201112,0.33,-0.50,2.89,0.00,2.94,0.00
201201,5.27,2.22,-2.95,-1.60,-1.46,0.00
201202,4.32,-1.32,0.14,0.42,0.14,0.00
201203,2.40,-1.14,0.72,-0.85,1.42,0.00
201204,-0.64,-0.96,-0.30,1.06,0.52,0.00
201205,-6.69,-0.42,0.44,2.01,2.74,0.01
201206,3.74,0.50,0.34,-0.98,0.72,0.00
201207,1.01,-2.24,0.72,0.77,0.10,0.00
201208,2.76,0.79,0.24,-1.12,-1.12,0.01
201209,2.80,0.88,0.68,-1.68,0.75,0.01
201210,-1.63,-0.37,3.72,-0.93,2.27,0.01
201211,0.65,-0.05,-0.73,0.76,0.86,0.01
201212,1.30,1.98,3.03,-1.59,0.70,0.01
201301,5.33,0.51,1.54,-0.75,2.22,0.00
201302,0.96,-0.91,-0.01,0.19,1.09,0.00
201303,3.71,0.82,-0.15,0.78,1.86,0.00
201304,1.27,-2.69,-0.02,0.38,0.99,0.00
201305,2.53,1.55,1.12,-1.19,-0.99,0.00
201306,-1.52,0.99,0.52,-0.26,0.14,0.00
201307,5.69,1.70,-0.24,-1.22,-0.23,0.00
201308,-2.53,0.24,-2.13,0.78,-2.32,0.00
201309,3.82,2.01,-1.42,0.09,-1.29,0.00
201310,4.09,-1.55,0.65,1.73,0.62,0.00
201311,2.79,0.89,-0.53,0.51,0.62,0.00
201312,2.64,-0.59,-0.08,-0.69,-0.42,0.00
201401,-3.42,0.62,-1.43,-3.01,-1.17,0.00
201402,4.72,0.15,-0.42,-0.09,-0.70,0.00
201403,0.62,-0.85,4.88,1.66,2.15,0.00
201404,0.25,-3.15,1.78,3.02,1.00,0.00
201405,1.98,-1.91,-0.57,-0.02,-1.17,0.00
201406,2.81,2.96,0.52,-2.09,-2.17,0.00
201407,-2.06,-4.07,-0.04,0.80,-0.01,0.00
201408,4.06,0.44,-1.01,0.51,-0.49,0.00
201409,-2.45,-3.93,-2.62,1.24,-0.79,0.00
201410,2.03,2.20,-3.48,0.30,-0.20,0.00
201411,2.22,-2.39,-2.95,1.31,0.17,0.00
201412,-0.20,1.89,0.77,-1.68,0.93,0.00
201501,-3.47,-1.19,-3.89,2.14,-1.11,0.00
201502,6.15,0.57,-1.35,-1.05,-1.95,0.00
201503,-1.20,2.50,-0.94,0.00,-0.56,0.00
201504,1.11,-2.33,3.37,-0.64,-0.32,0.00
201505,1.00,0.38,-1.79,-1.34,-0.60,0.00
201506,-1.70,2.51,-1.32,-0.55,-1.04,0.00
201507,1.05,-4.88,-5.07,0.94,-2.12,0.00
201508,-5.93,0.35,3.45,0.26,0.99,0.00
201509,-3.35,-2.86,0.72,1.54,-0.20,0.00
201510,7.53,-2.05,0.52,0.09,-0.01,0.00
201511,0.45,2.14,-1.25,-2.07,-0.86,0.00
201512,-2.45,-3.09,-2.20,-0.45,0.36,0.01
201601,-5.73,-3.12,4.02,2.95,2.70,0.01
201602,0.26,1.56,0.91,1.90,2.61,0.02
201603,7.00,1.52,2.00,0.09,0.45,0.02
201604,1.12,2.56,3.72,-3.61,2.65,0.01
201605,1.39,-0.57,-2.61,0.00,-2.27,0.01
201606,-0.11,0.44,0.24,0.33,2.29,0.02
201607,3.92,2.07,-2.90,0.89,-1.68,0.02
201608,0.43,1.21,1.59,-0.97,-0.23,0.02
201609,0.34,1.35,-1.07,-1.65,-0.05,0.02
201610,-2.05,-3.27,2.89,0.21,0.42,0.02
201611,4.54,5.29,6.78,-2.62,3.29,0.01
201612,1.77,0.20,3.10,0.04,0.45,0.03
201701,2.13,-1.01,-1.84,-0.23,-1.69,0.04
201702,3.24,-1.81,-3.40,0.25,-1.52,0.04
201703,0.21,0.35,-2.95,1.63,-1.12,0.03
201704,0.84,-0.16,-3.05,1.79,-1.57,0.05
201705,0.93,-2.70,-4.28,2.34,-1.75,0.06
