,Mean,SD,Min,25%,Median,75%,Max
PR,0.2863175595345694,0.026355485842932666,0.20684860207171415,0.2696531967269953,0.2879453244441802,0.303492075874799,0.36908101115767017
NR,0.2114685290695969,0.025405430375553217,0.12720775918716418,0.19479625859774596,0.2104372013696956,0.22866764242622362,0.2891363784956462
ABPR,0.08331095119889702,0.013586332578323574,0.04916273878607293,0.07452095317408314,0.08327405210241294,0.09080504002522555,0.12766024788246816
ABNR,0.045327723089152575,0.009842351550658919,0.02186948731266009,0.03839875739047219,0.0444923923672936,0.05147561093956934,0.07686835160959847
RET,0.01717463135120905,0.018887863004135516,-0.040749194778336315,0.00501853713134905,0.01691472483983966,0.031012506276993007,0.07499551461545444
RET_OC_M,0.00016220092697943002,0.0007548031003639765,-0.00234272370462742,-0.00035957696057046975,0.0001724425550166696,0.0006466561111857895,0.0030040563009699397
RET_CO_M,0.0009918005054424899,0.0006433950377671981,-0.0006751195690467106,0.0005352140749719171,0.000936953354632587,0.0013168533038972864,0.003280985261525804
SIZE,98446593452.8547,253274658152.51218,6559695360.0,19415216128.0,34841096192.0,82981515264.0,2413423493120.0
RET_6M,0.041073213231242224,0.022409826707285963,-0.010706640329826366,0.026815134366923284,0.03768301892131282,0.05131512658639201,0.13412142342471797
GPA,0.08331095119889702,0.013586332578323574,0.04916273878607293,0.07452095317408314,0.08327405210241294,0.09080504002522555,0.12766024788246816
ILLIQ_M,1.1460231411112935e-06,3.258566140716968e-06,0.0,2.52794991102576e-07,5.758667278844907e-07,1.3138930819356604e-06,5.80115022062823e-05
