,PR,NR,ABPR,ABNR,RET,RET_OC_M,RET_CO_M,SIZE,RET_6M,GPA,ILLIQ_M,Lead_R,Lead_NR,Lead_ABPR,Lead_ABNR,Lead_RET,Lead_RET_OC_M,Lead_RET_CO_M,Lead_SIZE,Lead_RET_6M,Lead_GPA,ILLIQ_M
PR,1.0,-0.3461698897485379,0.9230732374530081,-0.3481239468257137,-0.17037953126385477,-0.4029949237342603,0.23659762827029424,-0.024496986957729547,-0.024496986957729547,0.9230732374530081,-0.038701656721520754,0.9161354757586995,-0.3033312519611432,0.9378499247776406,-0.3363428853854626,-0.20484691887623832,-0.41684368616319095,0.24230921225023425,-0.026540751847262366,0.009488516010411764,0.9378499247776406,-0.038701656721520754
NR,-0.3461698897485379,1.0,-0.2704023407090905,0.935865371989971,0.08674525216492576,0.38774587138214955,-0.4356911863976349,0.06944967821709731,0.06944967821709731,-0.2704023407090905,0.046327789307080425,-0.34486973363825096,0.9219043753570284,-0.2941405502439899,0.9403746118005858,0.08007967940380538,0.40142098393010567,-0.4398654497948484,0.0718527579268856,-0.2913679026033028,-0.2941405502439899,0.046327789307080425
ABPR,0.9230732374530081,-0.2704023407090905,1.0,-0.3082550667706003,-0.15867481706721429,-0.36815410979805646,0.19726280545383423,-0.03647526151509646,-0.03647526151509646,1.0,-0.036293738860089665,0.7826659295590964,-0.21778403108210845,0.9659562384510141,-0.28124853987277026,-0.18886500128185313,-0.3885405903269135,0.19945731816281873,-0.03763905273877944,-0.024823304886736088,0.9659562384510141,-0.036293738860089665
ABNR,-0.3481239468257137,0.935865371989971,-0.3082550667706003,1.0,0.08734466307494962,0.39438100066714565,-0.46085495821017103,0.07551983031403539,0.07551983031403539,-0.3082550667706002,0.05839954698027374,-0.31482765973369087,0.821327609181948,-0.308914050597194,0.9638488005869631,0.09656981546406979,0.40577659506156954,-0.46514282519209554,0.07737067637644082,-0.3396707710529359,-0.308914050597194,0.05839954698027374
RET,-0.17037953126385477,0.08674525216492576,-0.15867481706721429,0.08734466307494962,1.0,0.7947708128011602,0.4805340426134119,0.056495192658286994,0.056495192658286994,-0.1586748170672143,0.053644572743569575,-0.10616099731716744,-0.005239319868654063,-0.1348286099945553,0.031118431223097164,0.8467849757921984,0.7647319214638868,0.47275802471228345,0.05780691495554384,0.06928151550328626,-0.1348286099945553,0.053644572743569575
RET_OC_M,-0.4029949237342603,0.38774587138214955,-0.36815410979805646,0.39438100066714565,0.7947708128011602,1.0,-0.1032640020121769,0.10523109909480989,0.10523109909480989,-0.3681541097980565,0.06418371613375777,-0.3266937903550574,0.28117704721997394,-0.35045292293363967,0.34301424308796236,0.7329187573609057,0.9913076145245955,-0.11370834370526343,0.10712069764917924,-0.0905569420773498,-0.35045292293363967,0.06418371613375777
RET_CO_M,0.23659762827029424,-0.4356911863976349,0.19726280545383423,-0.46085495821017103,0.4805340426134119,-0.1032640020121769,1.0,-0.06680956154320256,-0.06680956154320256,0.19726280545383418,-0.0292816546944463,0.2486012817049344,-0.42233769541524385,0.2166254719596493,-0.47106143236003156,0.361679865447627,-0.11758372733135841,0.997411932381695,-0.06768705855094521,0.5570424890766096,0.2166254719596493,-0.0292816546944463
SIZE,-0.024496986957729547,0.06944967821709731,-0.03647526151509646,0.07551983031403539,0.056495192658286994,0.10523109909480989,-0.06680956154320256,1.0,1.0,-0.03647526151509643,-0.08659357097402771,0.018127709405811557,0.09979069623952352,-0.009965710335802562,0.09543906612867195,0.03616838374216952,0.11704735236990602,-0.06366309867403355,0.9997398711612409,-0.03379154445620361,-0.009965710335802562,-0.08659357097402771
RET_6M,-0.024496986957729547,0.06944967821709731,-0.03647526151509646,0.07551983031403539,0.056495192658286994,0.10523109909480989,-0.06680956154320256,1.0,1.0,-0.03647526151509643,-0.08659357097402771,0.018127709405811557,0.09979069623952352,-0.009965710335802562,0.09543906612867195,0.03616838374216952,0.11704735236990602,-0.06366309867403355,0.9997398711612409,-0.03379154445620361,-0.009965710335802562,-0.08659357097402771
GPA,0.9230732374530081,-0.2704023407090905,1.0,-0.3082550667706002,-0.1586748170672143,-0.3681541097980565,0.19726280545383418,-0.03647526151509643,-0.03647526151509643,1.0,-0.036293738860089665,0.7826659295590964,-0.21778403108210845,0.9659562384510141,-0.28124853987277026,-0.18886500128185313,-0.3885405903269135,0.19945731816281873,-0.03763905273877944,-0.024823304886736088,0.9659562384510141,-0.036293738860089665
