Date,Mkt-RF,SMB,HML,RF,WML
201101,1.98,-2.24,1.33,0.01,0.0
201102,4.01,2.02,0.4,0.01,0.0
201103,0.43,2.15,-1.72,0.01,0.0
201104,2.79,0.04,-2.28,0.0,0.0
201105,-1.48,-1.18,-1.45,0.0,0.0
201106,-1.87,-0.78,-0.23,0.0,0.008812638066917153
201107,-2.28,-0.84,-1.96,0.0,0.03126503486898948
201108,-5.92,-2.84,-1.85,0.01,0.018952394570494576
201109,-8.57,-4.08,-0.55,0.0,0.019299062754059623
201110,11.56,3.32,-0.05,0.0,0.047810403854234164
201111,-0.46,-0.74,-0.24,0.0,0.015593617192564333
201112,0.33,-0.78,2.89,0.0,0.014077908129832336
201201,5.27,2.54,-2.95,0.0,0.016425948813485573
201202,4.32,-1.44,0.14,0.0,0.01849842022675268
201203,2.4,-1.29,0.72,0.0,0.00982877948957618
201204,-0.64,-1.06,-0.3,0.0,0.02677657831113011
201205,-6.69,-0.53,0.44,0.01,0.008376633739493131
201206,3.74,0.65,0.34,0.0,0.02538320791594559
201207,1.01,-2.42,0.72,0.0,0.01856883688658928
201208,2.76,0.88,0.24,0.01,0.01120104747536686
201209,2.8,0.96,0.68,0.01,0.013681481694286974
201210,-1.63,-0.75,3.72,0.01,0.022457574711037515
201211,0.65,-0.09,-0.73,0.01,0.018513251747122098
201212,1.3,1.72,3.03,0.01,0.029953236345605906
201301,5.33,0.35,1.54,0.0,0.01648325608158239
201302,0.96,-1.06,-0.01,0.0,0.015189370461523435
201303,3.71,0.72,-0.15,0.0,0.010824829719335844
201304,1.27,-2.84,-0.02,0.0,0.025521336059514843
201305,2.53,1.41,1.12,0.0,0.012605490910958106
201306,-1.52,0.88,0.52,0.0,0.011321491454399542
201307,5.69,1.75,-0.24,0.0,0.024578231706701606
201308,-2.53,0.48,-2.13,0.0,0.01735004642033934
201309,3.82,2.06,-1.42,0.0,0.012425854840815211
201310,4.09,-1.77,0.65,0.0,0.019145448419543028
201311,2.79,0.93,-0.53,0.0,0.011123382804484322
201312,2.64,-0.54,-0.08,0.0,0.011550527975662112
201401,-3.42,1.12,-1.43,0.0,0.012545400615036624
201402,4.72,0.24,-0.42,0.0,0.015707361286530566
201403,0.62,-1.54,4.88,0.0,0.0168224609489797
201404,0.25,-3.63,1.78,0.0,0.02862196444771941
201405,1.98,-1.93,-0.57,0.0,0.008741485060448303
201406,2.81,3.17,0.52,0.0,0.009744122732654422
201407,-2.06,-4.05,-0.04,0.0,0.02383240428315999
201408,4.06,0.39,-1.01,0.0,0.021369600819529093
201409,-2.45,-3.72,-2.62,0.0,0.01467042517326603
201410,2.03,2.59,-3.48,0.0,0.014062341220909751
201411,2.22,-2.21,-2.95,0.0,0.010254945253904852
201412,-0.2,1.82,0.77,0.0,0.009941832994885092
201501,-3.47,-1.05,-3.89,0.0,0.018486530465801444
201502,6.15,0.88,-1.35,0.0,0.013590592688829606
201503,-1.2,2.53,-0.94,0.0,0.00993429453595329
201504,1.11,-2.44,3.37,0.0,0.03181541652955049
201505,1.0,0.61,-1.79,0.0,0.017237539398561725
201506,-1.7,2.63,-1.32,0.0,0.01875513030132394
201507,1.05,-4.24,-5.07,0.0,0.0118784147362196
201508,-5.93,-0.22,3.45,0.0,0.014227090877596207
201509,-3.35,-3.13,0.72,0.0,0.0118980511254903
201510,7.53,-2.13,0.52,0.0,0.018695451014782274
