Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
201101,1.98,-2.06,1.33,0.13,1.24,0.01,0.0
201102,4.01,1.89,0.4,-1.93,-0.39,0.01,0.0
201103,0.43,2.16,-1.72,2.19,0.76,0.01,0.0
201104,2.79,-0.03,-2.28,1.24,-0.6,0.0,0.0
201105,-1.48,-0.96,-1.45,2.71,-0.73,0.0,0.0
201106,-1.87,-0.4,-0.23,2.71,0.09,0.0,0.008812638066917153
201107,-2.28,-0.71,-1.96,1.93,-1.91,0.0,0.03126503486898948
201108,-5.92,-2.85,-1.85,1.67,-0.66,0.01,0.018952394570494576
201109,-8.57,-3.87,-0.55,2.66,0.25,0.0,0.019299062754059623
201110,11.56,3.21,-0.05,-1.07,-0.16,0.0,0.047810403854234164
201111,-0.46,-0.63,-0.24,1.73,1.06,0.0,0.015593617192564333
201112,0.33,-0.5,2.89,0.0,2.94,0.0,0.014077908129832336
201201,5.27,2.22,-2.95,-1.6,-1.46,0.0,0.016425948813485573
201202,4.32,-1.32,0.14,0.42,0.14,0.0,0.01849842022675268
201203,2.4,-1.14,0.72,-0.85,1.42,0.0,0.00982877948957618
201204,-0.64,-0.96,-0.3,1.06,0.52,0.0,0.02677657831113011
201205,-6.69,-0.42,0.44,2.01,2.74,0.01,0.008376633739493131
201206,3.74,0.5,0.34,-0.98,0.72,0.0,0.02538320791594559
201207,1.01,-2.24,0.72,0.77,0.1,0.0,0.01856883688658928
201208,2.76,0.79,0.24,-1.12,-1.12,0.01,0.01120104747536686
201209,2.8,0.88,0.68,-1.68,0.75,0.01,0.013681481694286974
201210,-1.63,-0.37,3.72,-0.93,2.27,0.01,0.022457574711037515
201211,0.65,-0.05,-0.73,0.76,0.86,0.01,0.018513251747122098
201212,1.3,1.98,3.03,-1.59,0.7,0.01,0.029953236345605906
201301,5.33,0.51,1.54,-0.75,2.22,0.0,0.01648325608158239
201302,0.96,-0.91,-0.01,0.19,1.09,0.0,0.015189370461523435
201303,3.71,0.82,-0.15,0.78,1.86,0.0,0.010824829719335844
201304,1.27,-2.69,-0.02,0.38,0.99,0.0,0.025521336059514843
201305,2.53,1.55,1.12,-1.19,-0.99,0.0,0.012605490910958106
201306,-1.52,0.99,0.52,-0.26,0.14,0.0,0.011321491454399542
201307,5.69,1.7,-0.24,-1.22,-0.23,0.0,0.024578231706701606
201308,-2.53,0.24,-2.13,0.78,-2.32,0.0,0.01735004642033934
201309,3.82,2.01,-1.42,0.09,-1.29,0.0,0.012425854840815211
201310,4.09,-1.55,0.65,1.73,0.62,0.0,0.019145448419543028
