,AA,AAL,AAPL,ABBV,ABT,ADBE,ADM,ADP,AMAT,AMGN,AMT,AMZN,APA,APD,AVGO,BA,BAX,BBY,BDX,BIIB,BMY,BSX,CAH,CAT,CCI,CCL,CHTR,CL,CMCSA,CMI,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,DAL,DD,DE,DHR,DIS,DISH,DVN,EA,EBAY,ECL,EL,EMR,EOG,EQIX,EQR,F,FCX,FDX,GD,GE,GILD,GIS,GLW,GM,GOOG,GOOGL,GPS,HAL,HCA,HD,HES,HII,HON,HPQ,IBM,ILMN,INTC,INTU,ISRG,ITW,JNJ,JNPR,K,KMB,KO,KR,KSS,LLY,LMT,LOW,LUV,LVS,MA,MAR,MCD,MCK,MDLZ,MDT,MMM,MNST,MO,MOS,MPC,MRK,MRO,MSFT,MSI,MU,NEM,NFLX,NKE,NOC,NOV,NSC,NTAP,NUE,NVDA,NWSA,OMC,ORCL,OXY,PCAR,PEP,PFE,PG,PM,PPG,PSA,PSX,PXD,QCOM,REGN,SBUX,SCCO,SHW,SIRI,SPG,STZ,SWN,SYK,SYY,T,TGT,TJX,TMO,TMUS,TRI,TSLA,TXN,UNH,UNP,UPS,V,VFC,VLO,VRTX,WBA,WMT,XOM,YUM
2011-01-31,5.838470714785734,,9.385518739137794,,5.766760538423698,5.558660300832531,5.375676460040143,4.860915356049998,5.650834998881962,4.832221585195746,5.009862459163013,8.77876031779586,5.360292728082019,5.048280737127907,,5.132892010668758,5.698110286560981,6.066508351150888,4.672534155258105,5.041184418929401,4.831536367641651,,5.1705158189403715,5.2353483817397155,,5.062985122761379,,5.548231428219635,5.39969063223113,,5.063922838923739,4.75838481762537,,5.158491914806543,7.564116633230776,5.712632634305954,4.885083046129815,4.316850663315522,,4.786678720094637,5.153856437796806,5.15011684276725,4.6087612713662525,,5.001051212269252,,6.271212541840731,,,4.659462814986335,5.915036954021539,,,6.440365721914799,6.829966695527299,5.091772338991295,4.909555244753818,3.136831310986145,6.112711641087661,5.074916267234415,5.337193698510518,,9.198764668930574,,6.229246169248305,5.816816675448432,,4.908790013709786,5.530226191187148,,4.74825895583623,5.847478405534502,4.573986401527193,,5.562614382961266,,,5.008432477402636,4.535530431582392,5.473101003674079,5.246293918906401,4.917401172420824,5.159690944327324,6.046844308757729,5.765523699923568,5.100175853334035,5.526901787780528,5.080474192447917,,7.475795864499542,7.822482964243104,,5.382150983373761,5.2083966278909415,,4.979368292482925,4.5976744318974205,,4.7884064596066,6.9698840121082855,,5.079126547682131,6.227389077938532,5.1802053023434445,5.721333092335798,,5.896902003553577,,6.223747018042353,4.927529334609105,5.464765069831744,5.22586266221722,,5.654079875304301,,-inf,5.018268473014282,5.0292659769898505,4.810243484196242,5.180090958057525,4.433173387928952,4.980689134729055,4.397554860217144,4.344388302823448,,4.590210179035237,,,5.38687042291633,,6.191435213563361,5.377167886096894,,,4.86634544438704,,5.661205779848554,5.015163951165538,5.0670799926037855,5.046494004295102,5.431775518712001,6.657676075483665,4.7679571068435305,,3.581066471413063,,4.955192711954533,4.962159417022182,5.667393291547224,4.662271963893613,7.086048669687893,,,,,4.901691424372705,4.479299350956751,5.391127968982456
2011-02-28,5.312736556486866,,9.231712871050702,,5.565555981513003,5.086304162547758,5.481993524725272,4.463528161182538,5.5594551103423315,4.853730356820664,4.911341976077116,8.607993652698013,5.415242786445785,4.992899916801251,,4.7941202577439554,5.638173773472099,5.991859040963262,4.940964584111784,4.979385047080247,4.627000671014524,,4.853334488420723,5.165114531054766,,5.0712506329783364,,5.637693481494927,5.369919465747402,,5.078738975248912,4.537448903176911,,5.870446000835491,7.179069992405069,5.758064650565812,5.292601810407268,4.503209725901509,,4.75275425406935,5.410072660834383,5.327967040871579,4.843389460824459,,4.953324709359145,,6.127820270221496,,,4.518302434009495,5.8237922477221415,,,6.202067183038932,5.923423445189022,5.236867825250224,4.456057721843369,2.70876944783816,5.83658563178216,4.941328479191043,5.318721769354402,,8.839225836972131,,6.019352919694239,5.717563404018225,,4.636520701290714,5.2379279857041885,,4.493207357088354,6.0894274293798185,4.285673553456242,,5.1941319729283695,,,4.772941263347064,4.283448149653477,5.64309461501605,5.5049200004502055,4.9397778437067075,5.007643651531308,6.042007734694932,5.431249793282164,5.094611742486565,4.9589471241841645,5.225166769537665,,7.264257208185476,7.498451288894564,,4.838548596007715,5.066584816942305,,4.647975451239577,4.528888736839194,,4.636162381148367,6.618566829461429,,4.640617827881254,5.958631993870711,4.980083392666563,5.29267214763852,,5.609615726436116,,6.19908915085559,4.772202608131197,5.4808166942538215,5.067073737929384,,5.280243066333188,,-inf,4.922564862103021,4.655476838177134,4.740951305457555,5.549711037578872,4.657597380152311,4.78744679973259,4.246030812847847,4.108280491195901,,4.659207392078187,,,5.144358037838802,,5.9204879523395055,5.354612761528151,,,4.744026018649861,,5.733071752843168,4.669947980165316,5.177380947314232,4.595849936673086,5.449255705623824,6.4083218066016165,4.813349723458121,,3.8140252961115135,,4.95425365375852,4.702584763512296,5.237745102174891,4.84407912526667,6.887035270934527,,,,,4.96192480802734,4.466340003135785,5.237792597695508
2011-03-31,5.329269520035613,,9.427508230295226,,5.514669221037771,5.719944149486493,5.262085293911886,4.908957187837342,5.763483637353184,5.015951337687253,5.592035782469932,8.824925192059448,5.285274436872553,5.233731740343635,,5.061460825129268,5.524605634498463,6.4848560675845865,4.916669477023062,5.128137659200831,5.454933915843532,,5.081992729965932,5.648601196018423,,5.905553278411455,,5.5825231425100075,5.539324475739933,,5.2681703664985475,4.935341213142353,,5.5876765685535155,7.57470085108731,5.866203988534613,5.088466580478004,4.633804785008601,,4.920496584027889,5.505244956859779,5.290600007875035,4.689183590237501,,5.091131622812646,,6.236054614918012,,,4.929782200510873,6.271889048126197,,,6.135411643903861,6.256615636716139,5.5037267650783335,4.855837245472429,3.10416647720528,6.1842009994191915,4.864127155238559,5.286899305039041,,9.201338690835655,,6.053569743746158,5.7174302398899846,,4.892791282411479,5.429583134292595,5.584721206523876,4.88387991844522,6.087240699502321,4.661613382006912,,5.476900741467653,,,4.986443260789667,4.524906405586348,5.7472773728139845,5.2542570362557495,5.055998673575928,5.321603013861548,6.484224735808955,5.715065863815407,4.968362139380732,5.115376416913994,5.345161937333816,,7.562223210451639,7.67700439401439,,4.892007646417723,5.151492371073976,,4.785023188313511,4.729879428782189,,5.071743383267603,6.565125642059218,,4.9105672506120115,6.067848647964921,5.14249815011869,5.617099618896925,,5.983452031248692,,7.0743420773237125,5.158334237151452,5.505231626430032,5.162564539188082,,5.665151871632409,,-inf,5.134316373996132,5.16800514045853,4.767693419378497,5.5811681181576205,4.567383089291111,5.070441564457531,4.438311227951266,4.5300126668896645,,4.84764353555232,,,5.55362365957843,,6.444885237825631,5.734590798451561,,,4.8238603904505695,,5.978535857582031,4.965175356502329,5.138360633957879,5.21467898382265,5.4768289677971715,6.445439770431799,5.285952181421353,,3.7660251657659614,,5.336157476796246,4.674628163780621,5.547489486132181,5.0290655195411595,7.031347916842819,,,,,4.9705857449606405,4.456690217293748,5.352952550162269
2011-05-31,5.434143310332915,,8.935401862532093,,5.381157093615677,5.100028901038423,5.570602766511395,4.947115718667572,5.733088444467807,4.891363057999906,5.0666669972442095,8.712002714083258,5.0414783214253776,4.620480699445419,,4.747246400209327,5.443791567596214,5.914675410613561,4.697546863429533,5.103964982870273,4.7366656871489905,,4.953021878610452,5.6206854040043766,,5.243676556732432,,5.302313831215875,5.552779489738001,,5.162141735542783,4.697982809719499,,5.614308924093112,7.362159357785174,6.078549675325847,4.906780294960395,4.443030721355721,,5.006855117532747,5.586816181530902,5.1700860272473435,4.717804242382861,,5.034676050702966,,5.9710215674553435,,,5.214639285409454,5.756401384324516,,,5.700854808046367,6.2525548826328565,4.9492015974484405,4.895389450743338,2.6538602899175503,6.121025158012827,4.715764332154748,5.005814067978269,,8.918602877507867,,6.2462468147109425,5.561368741742069,,4.85873285562687,5.662028697372322,5.348426171182811,4.785925887046707,6.231011637383271,4.504043711490856,,5.651074834102244,,,5.004380699721936,4.587189796004327,5.599744983668789,5.163031638747891,4.686234544038864,4.885008258564527,5.922069507898377,5.762708168445324,5.216682219588993,5.0633744415367605,5.449952922824166,,6.806067988177369,7.546045450985046,,4.714733791579096,5.125546089753233,,4.851401395192829,4.53070486396822,,4.7398370300093,7.127948760409656,,4.59640392761168,5.926247002003431,5.182263115331394,5.208073065578363,,5.599556898564808,,6.30631765350839,5.021655686887247,5.81835926874088,4.830704029583021,,5.460025971788452,,-inf,5.00958910124422,4.898305417682394,5.020325366582089,5.1133477320408485,4.384839345265825,4.820153971997723,4.280065641369511,4.2695477512604665,,4.649066391266743,,,5.0057415136204835,,5.828079982175045,5.883438479195595,,,4.751805568194727,,5.5596810185821814,5.1207505202030505,5.40294297810178,4.647542536724197,5.444051297419736,6.540121839255998,5.108466623021691,,3.5732856688066432,,4.9205152255826325,4.9903798511162325,5.445793854862287,4.739408304974199,6.751905892039963,,,,,4.61506574034061,4.372435414014774,5.344489515485402
2011-06-30,5.130449198784482,,9.212101492567905,,5.24987217416966,5.659352817731012,5.483137575827002,5.010044250852123,5.690817317413063,4.807956068617741,5.365032651829237,8.567660868965902,5.067468437465919,4.9794140471289445,,4.945327627935341,5.455654868876873,,4.550602900150261,5.509892472847092,5.065004624888497,,5.012766591916933,5.684240929806467,,5.55017859916985,,5.52761505950732,5.706917866247979,5.966203313116381,5.133278897367837,4.777166450370064,7.235728899093454,5.7170571736915585,6.423256296624821,6.208899146387382,4.900958501467862,4.47020510136172,,5.0818948553195025,5.609174519073647,5.565846445647765,4.823014000408327,,5.07963783194048,,6.586895429969643,,5.9454487271724545,5.066801104903454,5.992454985364755,,,6.019805478630733,6.107811971873578,5.2972206423466295,4.910448847279368,2.8865065826787153,5.882933762025736,5.01264401557227,5.241769292231849,6.154105196281614,9.151881017059527,,,5.652824255016755,6.163335853108572,5.120775149370741,5.613204417723343,,4.7382729142314775,6.0896674053885205,4.511526617770704,,5.408268226325401,,,5.00545122755738,4.437372902734461,6.161273388650529,5.2768335643205635,4.904401295942629,5.17481877019093,6.5136260378984,5.784919556735619,4.9537482251030935,5.172926664829259,5.711844690369794,,6.69460554276253,7.8714594371434305,,4.819106305896979,5.218740102656775,,4.837128773595695,4.5540114655374015,,4.918233445462678,6.58261436219035,,4.466955982743716,5.997291784136773,5.164102220218203,5.443200062507397,,5.612680306530413,,6.851054043911775,5.121211753956372,5.408656515944791,4.966046169836565,5.8413781186126394,,,-inf,,5.2057777254177315,4.821447553070791,5.45138685451859,4.5144657123428,4.859319795354684,4.3376092112892275,4.4382845726697076,,4.828320858211784,,,5.140625046286023,,5.947339511499536,6.221438833389179,,,4.946823488483944,,5.598474441687749,4.784050498494413,4.655560383835285,4.6833943507707,5.411797755257172,6.723844195166158,4.902244193442863,,3.7067898300858775,,5.2327537213979385,5.031662269649949,5.454070014125928,4.916666477871547,7.315530265709106,,,,,5.070394493214307,4.502053917392188,5.392288533190553
2011-08-31,5.631096874473124,,9.76744341116791,,5.755958355275807,5.887214395926208,5.713322223670228,5.614093604224385,5.851530866110239,5.393839119874509,5.478434195853323,9.052548285809992,5.433703064620042,5.391139240501568,,5.576009643753434,5.964230082470757,,5.334997273390144,5.403249453136917,5.369811186819418,,5.601642899120272,6.16765643687522,,6.124225463090935,,5.801948336607085,6.057425523660016,6.27430192803637,5.587507803784967,5.252804685057034,7.8456212903286335,5.898890453862699,6.75896612089362,6.580831264995084,5.2998306684707925,5.051641289516024,,5.506621312756975,5.941007196939473,5.9453879555131275,5.560600641082451,,5.517804121722363,,6.577521407929628,,6.862447266713896,5.6101071345931155,6.417531684263139,,,6.318644115868086,6.166159968931373,5.63246817155278,5.400730853519647,3.4890061621372808,6.441894335011285,5.298853715978837,5.7978948024932295,6.3707463842524215,9.742954915339146,,,6.108509616096805,6.781173241387465,5.642897270229243,6.059410156673373,,5.6066519981370995,6.6784433799645795,5.1266387198851735,,5.6796453329990415,,,5.794734562618696,5.189065056212728,6.240797908476657,5.631538160917403,5.525653208334373,5.7928761929436545,6.454968336496176,6.090088739499256,5.531122764810632,5.596227417243675,5.930767993968002,,7.146566368577647,8.253574959627699,,5.264765705896336,5.563889236973313,,5.35609636723144,5.356731482281512,,5.335965229914059,6.455067168897927,6.360128484736233,5.154027273146951,6.057521081273025,5.445404573666527,6.0253565970271055,,6.1284331203118425,,6.876813061626367,5.870848124392495,5.917441101366433,5.528490737518168,6.62433913221122,,,-inf,,5.663824209805135,5.358674645777776,6.211135571490345,5.194146932467647,5.300776109487575,4.818594716460348,4.8757212409774,,5.423740389851745,,,5.61691560258421,,6.420161778465414,6.11812440679272,,,5.510417830749767,,6.185750830152247,5.497237403252274,5.4026716844370775,5.350983334564887,5.734352736297709,6.979219262107088,5.480176117845136,,4.587722098352736,,5.706649888696193,5.366220705774974,6.022009272249004,5.4275339647869085,7.115660937009423,,,,,5.477462785826987,5.057240621773837,5.9511152747996485
2011-09-30,5.4308497121535675,,9.469007268691726,,5.399885499339085,5.728629519129684,5.2737019190098655,5.1831500072946985,5.708818888753116,4.9044467570522645,5.281821764538182,8.975061727847926,5.415605643893322,5.146003227254337,,5.1297498280923195,5.525366335929698,,5.138308632321685,5.0826181436778795,5.2232259942604635,,5.311117806598715,5.880257844678597,,5.858562811200695,,5.627798182492629,5.728891188661777,6.131887828548264,5.31043887257821,4.898564862469367,7.552935257617182,5.50682130076207,6.574088707789286,6.174365229520609,5.19562997479562,4.753218576105518,,5.297266666539233,5.568783115735544,5.66663238641476,4.992053538564718,,5.362691867142775,,6.494161412200295,,6.425567185665664,5.26306921716188,6.031911706545694,,,5.796406277787949,6.241230391857285,5.50186304819128,5.094956388611527,3.3282481124949173,5.997306008586091,5.343163989215415,5.719022263545585,5.778391538435072,9.143466873145913,,,6.021027975513217,6.224961721336171,5.168145633346698,5.868131669500078,,5.097312602026729,6.543907064085111,4.779854294858489,,5.5296742479512995,,,5.301387464627142,4.570835043363566,6.081889403426453,5.182072069697873,5.176200882119618,5.567625835262466,6.286732715708679,5.997413218778711,5.143126333698122,5.422191664310124,5.514276106702009,,6.9914169884175745,8.103193966643467,,5.073594980331735,5.167965339032038,,4.852612804972502,5.09788627549039,,5.185182491606528,6.576533196316272,5.961300116678042,4.8313539465633335,5.566704512581438,5.150262100458492,5.6063768434293,,5.931264928978826,,6.820323922740797,5.2852953017429565,5.7293071827884665,5.435524222879544,6.054572242412787,,,-inf,,5.435052480045349,5.097123859438992,5.867789888635664,4.991742435354986,4.895936672276741,4.431815326200858,4.814844060176387,,5.099623939279117,,,5.360405717708546,,6.128905460081002,5.786245779730352,,,5.261030925413327,,5.8175761198433475,5.202802385656848,5.135334277157957,5.174504155097395,5.3891455728133035,6.836906648398611,5.144558642438062,,4.392992765766174,,5.530679301687095,5.1064219567948,5.707245571748687,5.2635508951024095,6.826271481219703,,,,,5.046402545370453,4.716323892137941,5.663338569916591
2011-10-31,5.9419889891865045,,9.561751372912278,,5.891868061546554,5.6594978739059965,5.0242260953969895,5.127394888619926,5.512726505928664,4.843940290870859,5.139939950419116,9.078119549709546,5.279480065057522,5.04993021205456,,5.150971559931387,5.671081087908428,,4.939846345401748,5.3575699787010915,5.245254124670234,,5.2304741528866,5.923979617398907,,5.467274396727242,,5.389013951665475,5.712304023669963,6.063315936550413,5.246094657703138,4.949495691312145,7.403749426784863,5.391035348614834,6.37305334217484,6.008401648759237,5.091466244183226,4.638771811415851,,5.384864858542955,5.633074190069719,5.563937195171783,4.833955965232639,,5.309170784100409,,6.382780104533695,,6.087898836439699,5.059669688460542,6.239011822508385,,,6.088790688811391,6.522592072587527,5.350954804657634,4.92910289835657,3.1165152784115078,5.843744630011946,5.055818844242808,5.66948174290909,5.905620871949569,9.418825693145726,,,6.241647781157728,6.130564193029753,5.020170826639591,5.813529290419167,,5.063939626695677,6.189215531891881,4.82708200809733,,5.6607081393669585,,,5.207278915204036,4.519428078558103,6.226633004391523,5.129439698953005,5.152258809278013,5.326651820708613,5.928728934834651,5.931783339414447,5.0656714529366065,5.116034934396114,5.544301592067993,,6.898870468126438,7.786360901479978,,4.8911456332613605,5.186785574507594,,4.777501907709858,5.073326602944523,,4.896108407725366,6.307658953094048,6.09928927533716,4.823578834287382,5.4570322833173845,5.100791525738625,5.1693227170605445,,5.69240407662724,,6.479694001020032,5.249841618353527,5.815010926635949,5.156540610456628,5.960531367964206,,,-inf,,5.157444268735098,5.05590048225158,5.7516198536299346,4.7393744139232785,4.787730283579992,4.300987774277516,4.587700191725979,,5.097106125184691,,,5.294304606292656,,5.9917153160897065,5.832118778497946,,,5.2533172693658114,,5.770381061070058,5.0328518761571805,4.947846157046091,4.828148980738451,5.230043295371628,6.493028204907573,5.607123559138092,,4.42174736901788,,5.563314098535822,5.120637791715628,5.729678276341859,4.940120198440269,6.686314093143697,,,,,5.020530812923644,4.648064391173386,5.723559487991475
2011-11-30,5.48800656563584,,9.17916498707381,,5.1278617490973994,5.752692923903615,4.9664349198622055,4.793570377706673,5.494278023325746,5.306580064573089,5.042352529002817,8.924837655804238,5.1499948929691675,4.703123438647825,,5.044921602749689,5.6463661490384425,,5.299164862427255,5.013159365030091,4.817623916568575,,4.933557184958889,5.637071363223051,,5.457248858471601,,5.270870778087791,5.659008709092774,5.672026379296773,5.062883692734262,4.676797500318362,7.706488939212554,5.360204251642639,6.137052139888429,6.030568320233981,5.108885766432823,4.716584599798209,,5.027472683671539,5.471495105955306,5.232292845147222,5.074544699041914,,5.152583490505407,,6.101899408881869,,6.342141515348482,4.902884304874576,6.1276251010168865,,,5.679358647184347,6.047943881961284,4.91864240051006,4.920217061399865,2.9800741331016596,6.354358881896312,4.704691520582165,5.729662115597553,5.902248884868113,9.17156587386251,,,5.973466647160854,6.371085203037348,4.977798469029108,5.517732081400572,,4.8663349848951585,6.204992238791764,4.42821812421116,,5.36815945612252,,,5.233054437660592,4.459326690565059,5.807207597848445,5.639069386140856,4.905899977367514,5.14382226468783,5.85995687314879,5.653985453544988,5.198444495541521,5.3863975708296135,5.607204842202513,,6.5246729982806535,7.677237117816579,,4.662351248427551,4.897893670027547,,4.74826131140856,4.894440549715762,,4.758929216473147,6.051032693536161,6.217839550265937,4.720339720298923,5.39079844169266,4.948635993367135,5.191275972267927,,5.5441221200854,,6.308174809705501,5.136301565486263,5.5701321322950825,5.09995121975018,6.234780457767038,,,-inf,,4.94553159965461,4.863926240601279,5.554063513423766,4.655429130417508,4.9490076525896205,4.149236754779672,4.3071913008615015,,5.016256870132505,,,5.398008935746142,,5.952298314861197,5.779646327318271,,,4.872347382347697,,5.436624439228069,4.821341637356842,4.8823223429200215,4.706564425388439,5.323971295474612,6.45030129969795,5.331066030472803,,4.051079596237262,,5.311646925051748,4.892795723946605,5.390655789201182,4.7950511568236,6.467455401210325,,,,,4.8296745543448,4.502001929315226,5.30747974787624
2012-01-31,5.52805060099096,,8.911667937422362,,5.301507684092365,5.114164848142755,4.897097096235877,4.745421706117748,5.500748282854987,5.064657247591468,5.144046290497292,8.713217229993473,5.124145648157298,4.72176966170703,,4.945781544126692,5.540703766509282,,5.014006974613713,5.068581709697009,5.038297756547654,,4.860026994326641,5.545789176494898,,5.920822097533965,,5.630033490248995,5.392861518889275,5.623305120590388,5.201355194443919,4.765349705834623,7.433489969971112,4.980803060999082,6.463355970409904,5.7010177689488915,4.68062833846921,4.359320104047071,,4.859492303260989,5.236412914926685,5.08578594288075,4.715844863718315,,5.013094049807382,,6.2538414809468375,,5.227028828525763,4.875041921965101,5.826715624775702,,,5.827334338627162,5.9449415154254535,4.933870648780696,4.874202381924662,2.7363128413997266,6.135510580005869,4.601172575774278,5.595348889604275,5.782051986569433,9.371449141469046,,,6.050950575069839,6.315630106263849,4.812678172734779,5.863007466973998,,4.631424274084735,5.684390729080996,4.5539784733838555,,5.352909048727984,,,4.997061325524379,4.3488541575565085,6.157485326612455,5.165322723582002,4.980696962946013,5.023666841988267,5.746016487903805,5.82546559907318,5.139438996792969,5.092494907258244,5.4395357930950325,,6.309663730974982,7.745775254750225,,4.7535280419107195,5.16099829704248,,4.678746988358092,4.594271936551145,,4.77421849092025,5.970075794650901,6.026557610212537,4.5670235622535085,5.336976788805079,5.207161093820988,4.943888017748377,,5.625990350730878,,6.295047388085527,4.951096397146005,5.2374913692662615,5.20432406446165,5.9989958104906185,,,-inf,,5.235730529001501,4.705544684839237,5.6205793577596355,4.335506769670197,4.840272229892102,4.631916124745688,4.246488228086428,,4.739551279110964,,,5.051266893560093,,5.790551544929188,5.916262311307746,,,4.7316320564144805,,6.045632971722411,5.079698549626004,4.61481368923911,4.896801654213188,5.401010592651345,6.248729357796362,5.185990425849907,,3.995414823279833,,5.251333466446963,4.974953022711472,5.48714613811539,4.759647657899081,6.369852206149673,,,,,4.523770769790046,4.2152349171363905,5.3199731652563615
